Tree,EL,FN,,
Astral,101,0.125,,
Astral,92,0,,
Astral,105,0.25,,
Astral,113,0.25,,
Astral,159,0.375,,Astral=1
Astral,160,0.375,,Phylonet=2
Astral,236,0.5,,True=3
Astral,257,0.5,,
Astral,317,0.625,,
Astral,331,0.625,,
Astral,417,0.75,,
Astral,413,0.75,,
Astral,554,0.875,,
Astral,555,0.875,,
Astral,535,0.875,,
Astral,545,0.875,,
Astral,105,0.25,,
Astral,113,0.25,,
Astral,153,0.375,,
Astral,154,0.375,,
Astral,213,0.5,,
Astral,193,0.5,,
Astral,233,0.625,,
Astral,257,0.625,,
Astral,279,0.75,,
Astral,283,0.75,,
Astral,313,0.875,,
Astral,313,0.875,,
Astral,313,0.875,,
Astral,313,0.875,,
Astral,92,0,,
Astral,101,0.125,,
Astral,111,0.25,,
Astral,112,0.25,,
Astral,159,0.375,,
Astral,180,0.375,,
Astral,211,0.5,,
Astral,225,0.5,,
Astral,282,0.625,,
Astral,278,0.625,,
Astral,390,0.75,,
Astral,391,0.75,,
Astral,371,0.75,,
Astral,381,0.75,,
Astral,101,0.125,,
Astral,92,0,,
Astral,104,0.125,,
Astral,105,0.125,,
Astral,130,0.25,,
Astral,131,0.25,,
Astral,175,0.375,,
Astral,155,0.375,,
Astral,180,0.5,,
Astral,204,0.5,,
Astral,211,0.625,,
Astral,215,0.625,,
Astral,230,0.75,,
Astral,230,0.75,,
Astral,230,0.75,,
Astral,230,0.75,,
Astral,92,0,,
Astral,101,0.125,,
Astral,113,0.25,,
Astral,116,0.25,,
Astral,141,0.375,,
Astral,142,0.375,,
Astral,186,0.5,,
Astral,166,0.5,,
Astral,191,0.625,,
Astral,215,0.625,,
Astral,222,0.75,,
Astral,226,0.75,,
Astral,241,0.875,,
Astral,241,0.875,,
Astral,241,0.875,,
Astral,241,0.875,,
Astral,113,0.25,,
Astral,105,0.25,,
Astral,112,0.25,,
Astral,112,0.25,,
Astral,111,0.25,,
Astral,112,0.25,,
Astral,156,0.375,,
Astral,136,0.375,,
Astral,161,0.5,,
Astral,185,0.5,,
Astral,192,0.625,,
Astral,196,0.625,,
Astral,211,0.75,,
Astral,211,0.75,,
Astral,211,0.75,,
Astral,211,0.75,,
Astral,105,0.25,,
Astral,113,0.25,,
Astral,121,0.25,,
Astral,123,0.25,,
Astral,109,0.25,,
Astral,130,0.25,,
Astral,136,0.375,,
Astral,150,0.375,,
Astral,182,0.5,,
Astral,178,0.5,,
Astral,265,0.625,,
Astral,266,0.625,,
Astral,246,0.625,,
Astral,256,0.625,,
Astral,157,0.375,,
Astral,142,0.375,,
Astral,112,0.25,,
Astral,152,0.375,,
Astral,152,0.375,,
Astral,111,0.25,,
Astral,130,0.25,,
Astral,109,0.25,,
Astral,135,0.375,,
Astral,159,0.375,,
Astral,166,0.5,,
