Tree,QS,FN,,
1,6921,0.125,,
1,6984,0,,
1,6864,0.25,,
1,6801,0.25,,
1,6414,0.375,,Astral=1
1,6414,0.375,,Phylonet=2
1,5924,0.5,,True=3
1,5919,0.5,,
1,5479,0.625,,
1,5489,0.625,,
1,5010,0.75,,
1,5012,0.75,,
1,4835,0.875,,
1,4833,0.875,,
1,4855,0.875,,
1,4841,0.875,,
1,6864,0.25,,
1,6801,0.25,,
1,6201,0.375,,
1,6201,0.375,,
1,5471,0.5,,
1,5461,0.5,,
1,4801,0.625,,
1,4781,0.625,,
1,4043,0.75,,
1,4047,0.75,,
1,3743,0.875,,
1,3739,0.875,,
1,3755,0.875,,
1,3783,0.875,,
1,6984,0,,
1,6921,0.125,,
1,6554,0.25,,
1,6554,0.25,,
1,5834,0.375,,
1,5819,0.375,,
1,5099,0.5,,
1,5129,0.5,,
1,4292,0.625,,
1,4298,0.625,,
1,3917,0.75,,
1,3911,0.75,,
1,3977,0.75,,
1,3935,0.75,,
1,6921,0.125,,
1,6984,0,,
1,6809,0.125,,
1,6795,0.125,,
1,6345,0.25,,
1,6345,0.25,,
1,5855,0.375,,
1,5850,0.375,,
1,5420,0.5,,
1,5410,0.5,,
1,4941,0.625,,
1,4943,0.625,,
1,4766,0.75,,
1,4764,0.75,,
1,4772,0.75,,
1,4786,0.75,,
1,6984,0,,
1,6921,0.125,,
1,6753,0.25,,
1,6704,0.25,,
1,6254,0.375,,
1,6254,0.375,,
1,5764,0.5,,
1,5759,0.5,,
1,5329,0.625,,
1,5319,0.625,,
1,4850,0.75,,
1,4852,0.75,,
1,4675,0.875,,
1,4673,0.875,,
1,4681,0.875,,
1,4695,0.875,,
1,6801,0.25,,
1,6864,0.25,,
1,6760,0.25,,
1,6760,0.25,,
1,6554,0.25,,
1,6554,0.25,,
1,6064,0.375,,
1,6059,0.375,,
1,5629,0.5,,
1,5619,0.5,,
1,5150,0.625,,
1,5152,0.625,,
1,4975,0.75,,
1,4973,0.75,,
1,4981,0.75,,
1,4995,0.75,,
1,6864,0.25,,
1,6801,0.25,,
1,6682,0.25,,
1,6619,0.25,,
1,6544,0.25,,
1,6524,0.25,,
1,5964,0.375,,
1,6004,0.375,,
1,5288,0.5,,
1,5296,0.5,,
1,4888,0.625,,
1,4880,0.625,,
1,4968,0.625,,
1,4912,0.625,,
1,6234,0.375,,
1,6225,0.375,,
1,6554,0.25,,
1,6058,0.375,,
1,6049,0.375,,
1,6554,0.25,,
1,6524,0.25,,
1,6544,0.25,,
1,6089,0.375,,
1,6079,0.375,,
1,5610,0.5,,
1,5612,0.5,,
1,5435,0.625,,
1,5433,0.625,,
1,5441,0.625,,
1,5455,0.625,,
1,6134,0.375,,
1,6080,0.375,,
1,6554,0.25,,
1,5828,0.375,,
1,5774,0.375,,
1,6554,0.25,,
1,6829,0.25,,
1,6779,0.25,,
1,6434,0.375,,
1,6444,0.375,,
1,6059,0.5,,
1,6049,0.5,,
1,6159,0.5,,
1,6089,0.5,,
1,5194,0.5,,
1,5149,0.5,,
1,5794,0.375,,
1,4814,0.5,,
1,4769,0.5,,
1,5794,0.375,,
1,6544,0.25,,
1,6524,0.25,,
1,6819,0.25,,
1,6919,0.25,,
1,6501,0.375,,
1,6489,0.375,,
1,6683,0.375,,
1,6633,0.375,,
1,5754,0.5,,
1,5745,0.5,,
1,6074,0.375,,
1,5578,0.5,,
1,5569,0.5,,
1,6074,0.375,,
1,6524,0.25,,
1,6544,0.25,,
1,6779,0.25,,
1,6829,0.25,,
1,6529,0.375,,
1,6619,0.375,,
1,6366,0.5,,
1,6364,0.5,,
1,6498,0.5,,
1,6478,0.5,,
1,5567,0.625,,
1,5558,0.625,,
1,5887,0.5,,
1,5391,0.625,,
1,5382,0.625,,
1,5887,0.5,,
1,6337,0.375,,
1,6333,0.375,,
1,6829,0.25,,
1,6779,0.25,,
1,6919,0.25,,
1,6819,0.25,,
1,6766,0.375,,
1,6780,0.375,,
1,6702,0.375,,
1,6698,0.375,,
1,4431,0.625,,
1,4395,0.625,,
1,5111,0.5,,
1,4027,0.625,,
1,3991,0.625,,
1,5111,0.5,,
1,6011,0.375,,
1,5995,0.375,,
1,6779,0.25,,
1,6829,0.25,,
1,6761,0.25,,
1,6763,0.25,,
1,6833,0.25,,
1,6787,0.25,,
1,4440,0.75,,
1,4422,0.75,,
1,4980,0.625,,
1,4138,0.75,,
1,4120,0.75,,
1,4980,0.625,,
1,5730,0.5,,
1,5722,0.5,,
1,6514,0.375,,
1,6819,0.25,,
1,6464,0.375,,
1,6919,0.25,,
1,6833,0.25,,
1,6787,0.25,,
1,4465,0.75,,
1,4447,0.75,,
1,5005,0.625,,
1,4163,0.75,,
1,4145,0.75,,
1,5005,0.625,,
1,5755,0.5,,
1,5747,0.5,,
1,6539,0.375,,
1,6919,0.25,,
1,6639,0.375,,
1,6819,0.25,,
1,6763,0.25,,
1,6761,0.25,,
1,5054,0.875,,
1,5045,0.875,,
1,5374,0.75,,
1,4878,0.875,,
1,4869,0.875,,
1,5374,0.75,,
1,5824,0.625,,
1,5820,0.625,,
1,6316,0.5,,
1,6571,0.375,,
1,6291,0.5,,
1,6603,0.375,,
1,6761,0.25,,
1,6763,0.25,,
1,6658,0.375,,
1,6627,0.375,,
1,5008,0.875,,
1,4999,0.875,,
1,5328,0.75,,
1,4832,0.875,,
1,4823,0.875,,
1,5328,0.75,,
1,5778,0.625,,
1,5774,0.625,,
1,6270,0.5,,
1,6540,0.375,,
1,6245,0.5,,
1,6608,0.375,,
1,6763,0.25,,
1,6761,0.25,,
1,6648,0.375,,
1,6633,0.375,,
1,5071,0.875,,
1,5062,0.875,,
1,5391,0.75,,
1,4895,0.875,,
1,4886,0.875,,
1,5391,0.75,,
1,5841,0.625,,
1,5837,0.625,,
1,6333,0.5,,
1,6638,0.375,,
1,6423,0.5,,
1,6600,0.375,,
1,6787,0.25,,
1,6833,0.25,,
1,6693,0.375,,
1,6684,0.375,,
1,5184,0.875,,
1,5175,0.875,,
1,5504,0.75,,
1,5008,0.875,,
1,4999,0.875,,
1,5504,0.75,,
1,5954,0.625,,
1,5950,0.625,,
1,6446,0.5,,
1,6711,0.375,,
1,6456,0.5,,
1,6649,0.375,,
1,6833,0.25,,
1,6787,0.25,,
1,6639,0.375,,
1,6646,0.375,,
2,6836,0.25,,
2,6899,0.125,,
2,6779,0.375,,
2,6716,0.375,,
2,6329,0.5,,
2,6329,0.5,,
2,5839,0.625,,
2,5834,0.625,,
2,5163,0.75,,
2,5183,0.75,,
2,5006,0.875,,
2,4992,0.875,,
2,4945,0.75,,
2,4979,0.75,,
2,4770,0.875,,
2,4768,0.875,,
2,6779,0.375,,
2,6716,0.375,,
2,6116,0.5,,
2,6116,0.5,,
2,5376,0.625,,
2,5386,0.625,,
2,4334,0.75,,
2,4374,0.75,,
2,4070,0.875,,
2,4042,0.875,,
2,4066,0.75,,
2,3998,0.75,,
2,3698,0.875,,
2,3694,0.875,,
2,6899,0.125,,
2,6836,0.25,,
2,6469,0.375,,
2,6469,0.375,,
2,5749,0.5,,
2,5734,0.5,,
2,4621,0.625,,
2,4681,0.625,,
2,4300,0.75,,
2,4258,0.75,,
2,4267,0.625,,
2,4369,0.625,,
2,3892,0.75,,
2,3886,0.75,,
2,6836,0.25,,
2,6899,0.125,,
2,6724,0.25,,
2,6710,0.25,,
2,6260,0.375,,
2,6260,0.375,,
2,5765,0.5,,
2,5770,0.5,,
2,5094,0.625,,
2,5114,0.625,,
2,4937,0.75,,
2,4923,0.75,,
2,4910,0.625,,
2,4876,0.625,,
2,4701,0.75,,
2,4699,0.75,,
2,6899,0.125,,
2,6836,0.25,,
2,6668,0.375,,
2,6619,0.375,,
2,6169,0.5,,
2,6169,0.5,,
2,5674,0.625,,
2,5679,0.625,,
2,5003,0.75,,
2,5023,0.75,,
2,4846,0.875,,
2,4832,0.875,,
2,4819,0.75,,
2,4785,0.75,,
2,4610,0.875,,
2,4608,0.875,,
2,6716,0.375,,
2,6779,0.375,,
2,6675,0.375,,
2,6675,0.375,,
2,6469,0.375,,
2,6469,0.375,,
2,5974,0.5,,
2,5979,0.5,,
2,5303,0.625,,
2,5323,0.625,,
2,5146,0.75,,
2,5132,0.75,,
2,5119,0.625,,
2,5085,0.625,,
2,4910,0.75,,
2,4908,0.75,,
2,6779,0.375,,
2,6716,0.375,,
2,6597,0.375,,
2,6534,0.375,,
2,6459,0.375,,
2,6439,0.375,,
2,5555,0.5,,
2,5635,0.5,,
2,5227,0.625,,
2,5171,0.625,,
2,5283,0.5,,
2,5419,0.5,,
2,4883,0.625,,
2,4875,0.625,,
2,6149,0.5,,
2,6140,0.5,,
2,6469,0.375,,
2,5973,0.5,,
2,5964,0.5,,
2,6469,0.375,,
2,6459,0.375,,
2,6439,0.375,,
2,5763,0.5,,
2,5783,0.5,,
2,5606,0.625,,
2,5592,0.625,,
2,5579,0.5,,
2,5545,0.5,,
2,5370,0.625,,
2,5368,0.625,,
2,6049,0.5,,
2,5995,0.5,,
2,6469,0.375,,
2,5743,0.5,,
2,5689,0.5,,
2,6469,0.375,,
2,6539,0.375,,
2,6639,0.375,,
2,6254,0.5,,
2,6184,0.5,,
2,6449,0.375,,
2,6619,0.375,,
2,6074,0.5,,
2,6064,0.5,,
2,5669,0.625,,
2,5660,0.625,,
2,5989,0.5,,
2,5493,0.625,,
2,5484,0.625,,
2,5989,0.5,,
2,6439,0.375,,
2,6459,0.375,,
2,6639,0.375,,
2,6539,0.375,,
2,6498,0.5,,
2,6518,0.5,,
2,6444,0.375,,
2,6429,0.375,,
2,6266,0.5,,
2,6264,0.5,,
2,5109,0.625,,
2,5064,0.625,,
2,5709,0.5,,
2,4729,0.625,,
2,4684,0.625,,
2,5709,0.5,,
2,6459,0.375,,
2,6439,0.375,,
2,6683,0.375,,
2,6633,0.375,,
2,6819,0.25,,
2,7004,0.125,,
